"Data","Hora UTC","PREC","TEMP MAX","TEMP MIN","RAIN"
"2020/01/01","0000 UTC",0,"26.4","25.7","FALSE"
"2020/01/01","0100 UTC",0,"26.3","25.7","FALSE"
"2020/01/01","0200 UTC",0,"26.2","25.8","FALSE"
"2020/01/01","0300 UTC",0,"26.3","25.8","FALSE"
"2020/01/01","0400 UTC",0,"26.2","25.6","FALSE"
"2020/01/01","0500 UTC",0,"25.7","25.5","FALSE"
"2020/01/01","0600 UTC",".2","25.6","24.2","TRUE"
"2020/01/01","0700 UTC","1.2","24.2",23,"TRUE"
"2020/01/01","0800 UTC","1.2","23.6","23.3","TRUE"
"2020/01/01","0900 UTC","1.2","23.7","23.2","TRUE"
"2020/01/01","1000 UTC",1,"23.2",23,"TRUE"
"2020/01/01","1100 UTC",".8","23.6","23.1","TRUE"
"2020/01/01","1200 UTC",".6","25.8","23.4","TRUE"
"2020/01/01","1300 UTC",".4","27.2","25.4","TRUE"
"2020/01/01","1400 UTC",0,"27.9","26.5","FALSE"
"2020/01/01","1500 UTC",0,"29.8","27.4","FALSE"
"2020/01/01","1600 UTC",0,"30.7","28.9","FALSE"
"2020/01/01","1700 UTC",0,"30.7","29.5","FALSE"
"2020/01/01","1800 UTC",0,"31.1","29.5","FALSE"
"2020/01/01","1900 UTC",0,"31.3","29.5","FALSE"
"2020/01/01","2000 UTC",0,30,"28.8","FALSE"
"2020/01/01","2100 UTC",0,"28.7",27,"FALSE"
"2020/01/01","2200 UTC",0,27,"26.5","FALSE"
"2020/01/01","2300 UTC",0,"26.7","26.4","FALSE"
"2020/01/02","0000 UTC",0,"26.6","26.4","FALSE"
"2020/01/02","0100 UTC",0,"26.5",26,"FALSE"
"2020/01/02","0200 UTC",0,"26.3",26,"FALSE"
"2020/01/02","0300 UTC",0,"26.2","25.8","FALSE"
"2020/01/02","0400 UTC",".2","25.8","25.7","TRUE"
"2020/01/02","0500 UTC",0,"25.7","25.2","FALSE"
"2020/01/02","0600 UTC",0,"25.3","25.1","FALSE"
"2020/01/02","0700 UTC",".2","25.3","25.1","TRUE"
"2020/01/02","0800 UTC",0,"25.1","24.8","FALSE"
"2020/01/02","0900 UTC",0,"25.2",25,"FALSE"
"2020/01/02","1000 UTC","7.2","25.3","23.9","TRUE"
"2020/01/02","1100 UTC",".4","24.9",24,"TRUE"
"2020/01/02","1200 UTC",".8","25.6","24.8","TRUE"
"2020/01/02","1300 UTC",".8",26,"25.2","TRUE"
"2020/01/02","1400 UTC",0,"27.9",26,"FALSE"
"2020/01/02","1500 UTC","1.4","27.8","26.1","TRUE"
"2020/01/02","1600 UTC",0,"28.1","27.5","FALSE"
"2020/01/02","1700 UTC",0,"27.9","27.7","FALSE"
"2020/01/02","1800 UTC",0,"27.9","27.6","FALSE"
"2020/01/02","1900 UTC",0,"27.8","27.5","FALSE"
"2020/01/02","2000 UTC",0,28,"27.4","FALSE"
"2020/01/02","2100 UTC",0,"27.5","26.7","FALSE"
"2020/01/02","2200 UTC",0,"26.7","26.1","FALSE"
"2020/01/02","2300 UTC",0,"26.2","25.8","FALSE"
"2020/01/03","0000 UTC",0,"25.8","25.7","FALSE"
"2020/01/03","0100 UTC",0,"26.4","25.8","FALSE"
"2020/01/03","0200 UTC",0,"26.9","26.3","FALSE"
"2020/01/03","0300 UTC",0,"26.9","26.6","FALSE"
"2020/01/03","0400 UTC",0,"26.6","26.3","FALSE"
"2020/01/03","0500 UTC",0,"26.3",26,"FALSE"
"2020/01/03","0600 UTC",0,"26.1","25.9","FALSE"
"2020/01/03","0700 UTC",0,26,"25.8","FALSE"
"2020/01/03","0800 UTC",0,"26.2","25.9","FALSE"
"2020/01/03","0900 UTC",0,"26.2","25.5","FALSE"
"2020/01/03","1000 UTC",0,"28.2","25.7","FALSE"
"2020/01/03","1100 UTC",0,"28.7","27.7","FALSE"
"2020/01/03","1200 UTC",0,"30.6","28.3","FALSE"
"2020/01/03","1300 UTC",0,"30.8","29.8","FALSE"
"2020/01/03","1400 UTC",0,"31.5","29.4","FALSE"
"2020/01/03","1500 UTC",0,"31.7","30.5","FALSE"
"2020/01/03","1600 UTC",0,32,30,"FALSE"
"2020/01/03","1700 UTC",0,"31.8","30.3","FALSE"
"2020/01/03","1800 UTC",0,"31.5","29.8","FALSE"
"2020/01/03","1900 UTC",0,"30.6","29.5","FALSE"
"2020/01/03","2000 UTC",0,"29.9","28.5","FALSE"
"2020/01/03","2100 UTC",0,"28.5","27.5","FALSE"
"2020/01/03","2200 UTC",0,"27.5","27.2","FALSE"
"2020/01/03","2300 UTC",0,"27.3","27.1","FALSE"
"2020/01/04","0000 UTC",0,"27.3","26.8","FALSE"
"2020/01/04","0100 UTC",0,"26.9","26.4","FALSE"
"2020/01/04","0200 UTC",0,"26.9","26.3","FALSE"
"2020/01/04","0300 UTC",0,"26.5","25.9","FALSE"
"2020/01/04","0400 UTC",0,"26.5","25.8","FALSE"
"2020/01/04","0500 UTC",0,"26.8","26.4","FALSE"
"2020/01/04","0600 UTC",0,"26.8","26.5","FALSE"
